id,bucket,lock_species,lock_conf,lock_source,auth_species,auth_conf,disagreement,human_truth,judgment,note
756724,A_dis_lowauth,"House",Finch,0.538,"yard",Eastern,Bluebird 0.01 1,"no_bird","lock=no,auth=no",""
756792,A_dis_lowauth,"Downy",Woodpecker,0.538,"yard",Northern,Flicker 0.01 1,"yes","lock=no,auth=no",""
756615,A_dis_lowauth,"House",Finch,0.538,"yard",American,Tree Sparrow 0.01 1,"yes","lock=no,auth=no",""
757690,A_dis_lowauth,"House",Finch,0.538,"yard",White-winged,Crossbill 0.01 1,"no_bird","lock=no,auth=no","two birds elsewhere"
756889,A_dis_lowauth,"House",Finch,0.538,"yard",Brown,Thrasher 0.0 1,"no_bird","lock=no,auth=no","thats actually me"
757930,B_dis_higauth,"House",Finch,0.488,"yard",Chipping,Sparrow 1.28 1,"yes","lock=no,auth=no",""
757912,B_dis_higauth,"White-breasted",Nuthatch,0.461,"yard",Black-capped,Chickadee 0.26 1,"Black-capped_chickadee","lock=no,auth=no",""
756831,B_dis_higauth,"Dark-eyed",Junco,0.538,"yard",House,Finch 0.18 1,"House_finch","lock=no,auth=no","downy on the pole below"
757283,B_dis_higauth,"Song",Sparrow,0.538,"yard",Chipping,Sparrow 2.05 1,"Chipping_sparrow","lock=no,auth=no",""
757599,B_dis_higauth,"Song",Sparrow,0.538,"yard",Chipping,Sparrow 2.42 1,"Chipping","lock=no,auth=no",""
757753,C_agr_lowauth,"House",Finch,0.516,"yard",House,Finch 0.01 0,"Finch","lock=no,auth=no","two other birds, one right one left"
757182,C_agr_lowauth,"Black-capped",Chickadee,0.538,"yard",Black-capped,Chickadee 0.07 0,"clack-capped","lock=no,auth=no",""
756895,C_agr_lowauth,"White-breasted",Nuthatch,0.474,"both_agree",White-breasted,Nuthatch 0.06 0,"black-capped","lock=no,auth=no",""
